"Map Entry VUID","Source Code","Source Desc","Target Code","Target Desc","Sequence","Effective Date","Status","Time","Author","Version"
"5337817","5335551","%","%","percent","1","11/08/2021","ACTIVE","11/08/2021","vhaislstewar","VHAT 325"
"5337813","5335489","GM","g","gram","1","11/08/2021","ACTIVE","11/08/2021","vhaislstewar","VHAT 325"
"5337812","5335633","MCG","ug","microgram","1","11/08/2021","ACTIVE","11/08/2021","vhaislstewar","VHAT 325"
"5337815","5336101","MCG/24HR","ug/(24.h)","microgram per 24 hour","1","11/08/2021","ACTIVE","11/08/2021","vhaislstewar","VHAT 325"
"5337816","5336003","MCG/HR","ug/h","microgram per hour","1","11/08/2021","ACTIVE","11/08/2021","vhaislstewar","VHAT 325"
"5337820","5335497","MCG/ML","ug/mL","microgram per milliliter","1","11/08/2021","ACTIVE","11/08/2021","vhaislstewar","VHAT 325"
"5337811","5335647","MEQ","meq","milliequivalent","1","11/08/2021","ACTIVE","11/08/2021","vhaislstewar","VHAT 325"
"5337810","5335503","MG","mg","milligram","1","11/08/2021","ACTIVE","11/08/2021","vhaislstewar","VHAT 325"
"5337814","5335869","MG/24HRS","mg/(24.h)","milligram per 24 hour","1","11/08/2021","ACTIVE","11/08/2021","vhaislstewar","VHAT 325"
"5337819","5335895","MG/DAY","mg/d","milligram per day","1","11/08/2021","ACTIVE","11/08/2021","vhaislstewar","VHAT 325"
"5337822","5335677","MG/GM","mg/g","milligram per gram","1","11/08/2021","ACTIVE","11/08/2021","vhaislstewar","VHAT 325"
"5337821","5336057","MG/HR","mg/h","milligram per hour","1","11/08/2021","ACTIVE","11/08/2021","vhaislstewar","VHAT 325"
"5337818","5335505","MG/ML","mg/mL","milligram per milliliter","1","11/08/2021","ACTIVE","11/08/2021","vhaislstewar","VHAT 325"
